dateStart,name,lat,lng
2009-04-02,015-20211,41.732627,-76.817535
2009-04-02,015-20210,41.732624,-76.817443
2009-04-02,051-24140,39.768936,-79.504661
2009-04-02,125-23644,40.20544,-80.419113
2009-04-02,125-23642,40.205662,-80.419113
2009-04-03,015-20213,41.732627,-76.817718
2009-04-03,015-20212,41.732627,-76.817627
2009-04-03,059-25103,39.906618,-80.299801
2009-04-03,083-53580,41.675393,-78.50285
2009-04-03,125-23640,40.205496,-80.419113
2009-04-03,125-23641,40.205607,-80.419085
2009-04-04,115-20073,41.716858,-76.076555
2009-04-06,005-30250,40.680892,-79.594745
2009-04-10,059-25125,39.88396,-80.026615
2009-04-10,125-23591,40.270328,-80.308387
2009-04-11,015-20161,41.704038,-76.72213
2009-04-15,115-20140,41.726402,-75.89323
2009-04-16,005-30082,40.858726,-79.50425
2009-04-16,115-20116,41.703833,-75.881404
2009-04-17,081-20141,41.449972,-77.017954
2009-04-17,081-20149,41.281213,-76.631075
2009-04-18,015-20134,41.684101,-76.356979
2009-04-18,059-25057,39.978303,-80.069741
2009-04-22,051-24187,39.988758,-79.853923
2009-04-22,059-25137,39.945365,-79.980466
